Survived,Pclass,Sex,Parch,Ticket,Age
0,2,1,0,494,22.0
1,0,0,0,565,38.0
1,2,0,0,635,26.0
1,0,0,0,41,35.0
0,2,1,0,446,35.0
0,2,1,0,255,29.69911764705882
0,0,1,0,72,54.0
1,2,0,2,321,27.0
1,1,0,0,116,14.0
1,2,0,1,583,4.0
0,2,1,0,506,20.0
0,2,1,5,310,39.0
0,2,0,0,390,14.0
1,1,1,0,135,29.69911764705882
0,2,0,0,279,31.0
1,2,0,0,166,29.69911764705882
0,1,1,0,123,35.0
1,1,1,0,136,34.0
1,2,0,0,258,15.0
1,0,1,0,36,28.0
0,2,0,1,372,8.0
1,2,0,5,306,38.0
0,2,1,0,161,29.69911764705882
0,0,1,2,81,19.0
1,2,0,0,263,29.69911764705882
0,2,1,0,339,29.69911764705882
0,0,1,0,567,40.0
1,0,0,0,555,29.69911764705882
1,2,0,0,268,29.69911764705882
0,0,1,0,569,28.0
0,0,1,0,37,42.0
1,2,1,0,184,29.69911764705882
0,2,1,0,486,21.0
0,2,0,0,280,18.0
1,2,0,0,168,14.0
0,2,0,0,479,40.0
0,1,0,0,44,27.0
0,2,1,0,368,29.69911764705882
1,1,0,2,600,3.0
1,2,0,0,262,19.0
0,2,1,0,584,29.69911764705882
0,2,1,0,436,29.69911764705882
1,2,0,0,63,29.69911764705882
0,2,1,0,172,29.69911764705882
0,2,0,0,354,18.0
0,2,1,1,230,7.0
0,2,1,0,493,21.0
1,0,0,0,556,49.0
1,1,0,0,220,29.0
1,0,1,0,80,29.69911764705882
1,1,0,0,524,21.0
0,2,1,0,197,28.5
1,1,0,2,530,5.0
0,2,1,2,535,11.0
0,2,1,0,179,22.0
1,0,0,0,28,38.0
0,0,1,0,432,45.0
0,2,1,2,314,4.0
0,0,1,0,570,29.69911764705882
1,2,1,1,171,29.69911764705882
1,1,0,0,522,29.0
0,2,1,0,590,19.0
1,2,0,2,229,17.0
0,2,1,0,250,26.0
0,1,1,0,526,32.0
0,2,0,2,535,16.0
0,1,1,0,588,21.0
0,2,1,0,186,26.0
1,2,1,0,67,32.0
0,2,1,0,324,25.0
0,2,1,0,332,29.69911764705882
0,2,1,0,447,29.69911764705882
1,2,0,0,408,30.0
0,2,1,0,282,22.0
1,2,1,0,289,29.0
1,2,0,0,260,29.69911764705882
0,0,1,0,23,28.0
1,1,0,0,603,17.0
1,2,0,0,228,33.0
0,2,1,3,642,16.0
0,2,1,0,618,29.69911764705882
1,0,0,2,81,23.0
0,2,1,0,276,24.0
0,2,1,0,277,29.0
0,2,1,0,318,20.0
0,0,1,0,644,46.0
0,2,1,2,519,26.0
0,2,1,0,449,29.69911764705882
1,0,1,1,579,23.0
1,1,0,1,102,34.0
0,1,1,0,134,34.0
0,2,0,0,361,28.0
0,2,1,0,338,29.69911764705882
0,0,1,1,394,21.0
0,2,1,0,477,33.0
0,2,1,0,226,37.0
0,2,1,0,331,28.0
1,2,0,0,275,21.0
1,2,1,0,234,29.69911764705882
0,2,1,0,365,38.0
1,2,0,0,443,29.69911764705882
0,0,1,0,2,47.0
0,2,0,0,175,14.5
0,2,1,0,254,22.0
0,2,0,0,464,20.0
0,2,0,0,158,17.0
0,2,1,0,632,21.0
0,1,1,0,44,29.0
0,0,1,1,554,24.0
0,1,1,0,588,21.0
0,2,1,0,511,29.69911764705882
0,1,1,0,116,32.5
1,1,0,0,200,32.5
0,0,1,1,394,54.0
1,2,1,0,168,12.0
0,2,1,0,437,29.69911764705882
1,2,1,0,512,24.0
1,2,0,1,178,29.69911764705882
0,2,1,0,295,45.0
0,2,1,0,357,33.0
0,2,1,0,606,20.0
0,2,0,0,508,47.0
1,1,0,0,96,29.0
0,1,1,0,521,25.0
0,1,1,0,596,23.0
1,0,0,2,46,19.0
0,0,1,0,41,37.0
0,2,1,0,476,16.0
0,0,1,0,561,24.0
0,2,0,2,185,29.69911764705882
1,2,0,0,309,22.0
1,2,0,0,634,24.0
0,2,1,0,414,19.0
0,1,1,0,103,18.0
0,1,1,1,527,19.0
1,2,1,0,382,27.0
0,2,0,2,642,9.0
0,1,1,2,98,36.5
0,1,1,0,131,42.0
0,1,1,0,589,51.0
1,0,0,0,32,22.0
0,2,1,2,509,40.5
0,2,1,0,542,29.69911764705882
0,0,1,1,564,51.0
1,2,0,0,395,16.0
0,2,1,0,620,30.0
0,2,1,0,238,29.69911764705882
0,2,1,2,537,29.69911764705882
0,2,1,1,444,44.0
1,1,0,0,528,40.0
0,2,1,0,300,26.0
0,2,1,0,245,17.0
1,2,1,2,400,9.0
1,0,0,1,26,29.69911764705882
0,2,0,4,314,45.0
0,0,1,0,545,29.69911764705882
0,2,1,0,67,28.0
0,2,1,1,454,4.0
0,2,1,0,625,21.0
0,2,1,1,389,18.0
0,2,1,1,462,29.69911764705882
0,0,0,0,562,50.0
0,1,1,0,152,30.0
0,2,1,0,543,36.0
0,2,0,2,537,29.69911764705882
0,1,1,0,595,29.69911764705882
0,2,1,2,306,9.0
1,2,0,2,251,4.0
0,0,1,0,30,29.69911764705882
1,2,0,0,434,29.69911764705882
1,0,1,0,9,45.0
0,2,1,1,411,40.0
0,2,1,0,363,36.0
1,1,0,0,107,32.0
0,1,1,0,208,19.0
1,2,0,0,383,19.0
1,1,1,1,98,3.0
1,0,0,0,572,44.0
0,2,1,0,428,29.69911764705882
0,2,1,1,467,42.0
1,2,0,0,435,29.69911764705882
0,1,0,0,143,24.0
0,2,1,0,284,28.0
0,2,1,2,537,29.69911764705882
0,2,1,0,223,34.0
0,2,1,0,159,45.5
1,2,1,0,501,18.0
0,2,1,0,228,32.0
1,2,1,0,198,26.0
1,2,0,0,421,16.0
1,0,1,0,15,40.0
0,2,1,0,608,24.0
1,1,0,0,539,35.0
0,2,1,0,497,22.0
0,1,1,0,146,30.0
0,2,1,0,419,29.69911764705882
1,0,0,0,393,31.0
1,2,0,0,636,27.0
0,1,1,0,126,42.0
1,0,0,0,53,32.0
0,1,1,0,645,30.0
1,2,1,0,619,16.0
0,1,1,0,90,27.0
0,2,1,0,88,51.0
0,2,1,0,352,29.69911764705882
1,0,1,0,79,38.0
0,2,1,0,582,22.0
1,1,1,0,638,19.0
0,2,1,0,496,20.5
0,1,1,0,110,18.0
0,2,0,1,462,29.69911764705882
1,0,0,0,432,35.0
0,2,1,0,299,29.0
1,2,0,2,306,5.0
0,1,1,0,523,24.0
0,2,0,0,643,29.69911764705882
0,1,1,0,180,44.0
1,1,0,2,525,8.0
0,1,1,0,212,19.0
0,1,1,0,602,33.0
0,2,0,0,175,29.69911764705882
1,2,0,0,420,29.69911764705882
0,1,1,0,640,29.0
0,2,1,0,624,22.0
0,2,1,0,195,30.0
0,0,1,0,78,44.0
0,2,0,0,302,25.0
1,1,0,2,149,24.0
1,0,1,1,45,37.0
0,1,1,0,128,54.0
0,2,1,0,399,29.69911764705882
0,2,0,1,294,29.0
0,2,1,0,507,30.0
0,2,0,2,433,41.0
1,2,0,2,167,29.0
1,0,0,0,558,29.69911764705882
1,0,0,0,0,30.0
1,0,0,0,575,35.0
1,1,0,1,100,50.0
0,2,1,0,456,29.69911764705882
1,2,1,2,306,3.0
0,0,1,1,1,52.0
0,0,1,0,14,40.0
0,2,0,0,452,29.69911764705882
0,1,1,0,517,36.0
0,2,1,1,230,16.0
1,2,1,0,311,25.0
1,0,0,0,580,35.0
0,0,1,0,40,29.69911764705882
1,2,1,0,543,25.0
1,1,0,1,145,41.0
0,0,1,1,563,37.0
1,2,0,0,439,29.69911764705882
0,2,0,0,303,45.0
0,1,1,0,119,29.69911764705882
0,2,1,1,454,7.0
1,2,0,1,520,35.0
0,2,1,0,317,28.0
0,2,1,0,288,16.0
1,2,1,0,504,19.0
0,0,1,0,22,29.69911764705882
0,2,1,0,355,33.0
1,2,1,0,286,30.0
0,2,1,0,330,22.0
1,1,1,0,118,42.0
1,2,0,0,438,22.0
1,0,0,0,77,26.0
1,0,0,0,54,19.0
0,1,1,0,601,36.0
0,2,0,0,353,24.0
0,2,1,0,351,24.0
0,0,1,0,574,29.69911764705882
0,2,1,0,194,23.5
1,0,1,0,84,29.69911764705882
1,0,0,1,554,50.0
1,2,0,0,485,29.69911764705882
1,2,1,0,417,29.69911764705882
0,2,1,0,543,19.0
1,1,0,0,94,29.69911764705882
0,2,1,0,498,29.69911764705882
1,0,0,0,70,29.69911764705882
1,0,0,0,578,17.0
0,1,1,0,544,30.0
1,0,0,0,553,30.0
1,0,0,0,50,24.0
1,0,0,2,571,18.0
0,1,0,1,150,26.0
0,2,1,0,359,28.0
0,1,1,1,540,43.0
1,2,0,0,320,26.0
1,1,0,0,134,24.0
0,1,1,0,213,54.0
1,0,0,2,429,31.0
1,0,0,1,68,40.0
0,2,1,0,495,22.0
0,2,1,0,342,27.0
1,1,0,0,109,30.0
1,1,0,1,141,22.0
0,2,1,2,537,29.69911764705882
1,0,0,0,580,36.0
1,1,0,0,210,36.0
1,2,0,1,400,31.0
1,0,0,1,5,16.0
1,2,0,0,417,29.69911764705882
0,0,1,0,18,45.5
0,0,1,1,557,38.0
0,2,1,0,280,16.0
1,0,0,0,573,29.69911764705882
0,2,1,0,347,29.69911764705882
0,0,1,0,32,29.0
1,0,0,0,68,41.0
1,2,1,0,482,45.0
0,0,1,0,34,45.0
1,0,0,2,81,24.0
0,1,1,0,142,28.0
0,1,1,0,133,25.0
0,1,1,0,97,36.0
1,1,0,0,140,24.0
1,1,0,0,237,40.0
1,2,0,0,457,29.69911764705882
1,2,1,1,531,3.0
0,2,1,0,242,42.0
0,2,1,0,475,23.0
0,0,1,0,27,29.69911764705882
0,2,1,1,196,15.0
0,2,1,0,354,25.0
0,2,1,0,164,29.69911764705882
0,2,1,0,292,28.0
1,0,0,1,26,22.0
0,1,0,0,115,38.0
1,2,0,0,259,29.69911764705882
1,2,0,0,265,29.69911764705882
0,2,1,4,314,40.0
0,1,1,0,599,29.0
0,2,0,1,193,45.0
0,2,1,0,607,35.0
0,2,1,0,434,29.69911764705882
0,2,1,0,515,30.0
1,2,0,0,157,29.69911764705882
1,2,0,0,65,29.69911764705882
1,0,0,0,550,24.0
1,0,1,0,49,25.0
0,2,1,0,225,18.0
0,2,1,0,253,19.0
0,0,1,0,580,22.0
0,2,0,1,372,3.0
1,0,0,0,569,29.69911764705882
1,2,0,0,516,22.0
0,0,1,2,25,27.0
0,2,1,0,165,20.0
0,2,1,0,301,19.0
1,0,0,0,577,42.0
0,2,1,0,631,32.0
1,0,0,0,37,35.0
0,2,1,0,348,29.69911764705882
0,1,1,0,588,18.0
1,1,0,0,201,36.0
0,2,1,0,423,29.69911764705882
1,1,0,0,591,17.0
1,0,1,2,29,36.0
1,2,1,0,378,21.0
0,2,1,0,227,28.0
1,0,0,0,393,23.0
1,2,0,2,583,24.0
0,2,1,0,387,22.0
0,2,0,0,391,31.0
0,1,1,0,207,46.0
0,1,1,0,130,23.0
1,1,0,0,124,28.0
1,2,1,0,629,39.0
0,2,1,0,271,26.0
0,2,0,0,465,21.0
0,2,1,0,634,28.0
0,2,0,0,247,20.0
0,1,1,0,211,34.0
0,2,1,0,298,51.0
1,1,1,1,218,3.0
0,2,1,0,235,21.0
0,2,0,1,462,29.69911764705882
0,2,1,0,344,29.69911764705882
0,2,1,0,461,29.69911764705882
1,0,0,0,78,33.0
0,1,1,0,119,29.69911764705882
1,2,1,0,621,44.0
0,2,0,0,274,29.69911764705882
1,1,0,1,205,34.0
1,1,0,2,151,18.0
0,1,1,0,206,30.0
0,2,0,2,285,10.0
0,2,1,0,369,29.69911764705882
0,2,1,0,505,21.0
0,2,1,0,239,29.0
0,2,0,1,308,28.0
0,2,1,1,433,18.0
0,2,1,0,492,29.69911764705882
1,1,0,0,86,28.0
1,1,0,0,153,19.0
0,2,1,0,413,29.69911764705882
1,2,1,0,610,32.0
1,0,1,0,3,28.0
1,2,0,0,450,29.69911764705882
1,1,0,0,593,42.0
0,2,1,0,623,17.0
0,0,1,0,61,50.0
1,0,0,2,29,14.0
0,2,0,2,642,21.0
1,1,0,3,218,24.0
0,1,1,0,518,31.0
1,1,0,1,540,45.0
0,2,1,0,283,20.0
0,2,1,0,305,25.0
1,1,0,0,101,28.0
1,2,1,0,472,29.69911764705882
1,0,1,2,269,4.0
1,1,0,1,145,13.0
1,0,1,0,38,34.0
1,2,0,1,176,5.0
1,0,1,0,35,52.0
0,1,1,2,530,36.0
0,2,1,0,470,29.69911764705882
0,0,1,0,20,30.0
1,0,1,0,71,49.0
0,2,1,0,499,29.69911764705882
1,2,1,0,356,29.0
1,0,0,0,73,29.69911764705882
1,1,0,0,541,50.0
0,2,1,0,442,29.69911764705882
1,0,1,0,82,48.0
0,2,1,0,405,34.0
0,0,1,0,4,47.0
0,1,1,0,106,48.0
0,2,1,0,510,29.69911764705882
0,2,1,0,605,38.0
0,1,1,0,119,29.69911764705882
0,2,1,0,398,29.69911764705882
0,2,1,0,252,29.69911764705882
0,2,1,0,243,38.0
1,1,0,2,530,33.0
1,1,0,0,594,23.0
0,2,0,0,481,22.0
0,0,1,0,2,29.69911764705882
0,1,1,0,232,34.0
0,2,1,0,293,29.0
0,2,1,0,388,22.0
0,2,1,2,535,9.0
0,1,1,0,120,29.69911764705882
0,2,1,0,502,50.0
1,0,1,0,54,25.0
0,2,0,1,462,29.69911764705882
1,0,0,0,79,35.0
0,2,1,0,488,30.0
1,2,1,1,531,9.0
0,2,1,0,471,29.69911764705882
0,2,1,0,615,21.0
0,2,1,0,489,21.0
0,2,1,0,158,29.69911764705882
1,0,0,0,430,54.0
0,2,1,0,533,29.69911764705882
0,0,0,2,33,25.0
0,2,1,0,379,24.0
0,2,1,0,241,17.0
0,2,0,0,409,21.0
0,2,0,0,256,29.69911764705882
0,2,0,0,463,37.0
1,0,0,0,0,16.0
0,0,1,0,578,18.0
1,1,0,2,162,33.0
1,0,1,0,8,29.69911764705882
0,2,1,0,513,28.0
1,2,1,0,67,26.0
1,2,1,0,453,29.0
0,2,1,0,614,29.69911764705882
1,0,1,0,546,36.0
1,0,0,0,568,54.0
0,2,1,0,333,24.0
0,0,1,0,431,47.0
1,1,0,0,529,34.0
0,2,1,0,443,29.69911764705882
1,1,0,0,95,36.0
0,2,1,0,358,32.0
1,0,0,0,57,30.0
0,2,1,0,367,22.0
0,2,1,0,156,29.69911764705882
1,0,0,1,5,44.0
0,2,1,0,199,29.69911764705882
0,2,1,0,422,40.5
1,1,0,0,639,50.0
0,0,1,0,552,29.69911764705882
0,2,1,0,231,39.0
0,1,1,1,216,23.0
0,2,1,0,163,29.69911764705882
0,2,1,1,192,17.0
1,2,0,2,178,29.69911764705882
0,2,0,0,240,30.0
1,1,0,2,540,7.0
0,0,1,0,19,45.0
1,0,0,0,581,30.0
0,2,1,0,403,29.69911764705882
1,0,0,2,62,22.0
1,0,0,2,646,36.0
0,2,0,2,310,9.0
0,2,0,2,310,11.0
1,1,1,0,214,32.0
0,0,1,0,581,50.0
1,1,0,0,214,19.0
1,1,1,0,597,29.69911764705882
0,2,1,1,400,33.0
1,1,1,1,527,8.0
1,0,1,2,70,17.0
0,1,1,0,132,27.0
0,2,1,0,264,29.69911764705882
1,2,1,0,154,22.0
1,2,0,0,312,22.0
1,0,0,0,48,48.0
0,0,1,0,577,29.69911764705882
1,0,0,1,1,39.0
1,2,0,0,278,36.0
0,2,1,0,445,29.69911764705882
0,2,1,0,366,40.0
0,1,1,0,89,28.0
0,2,1,0,617,29.69911764705882
0,2,0,0,611,29.69911764705882
0,2,1,0,490,24.0
0,2,1,0,329,19.0
0,2,0,4,372,29.0
0,2,1,0,189,29.69911764705882
1,2,1,0,392,32.0
1,0,0,0,51,53.0
1,0,1,0,547,36.0
1,2,0,0,64,29.69911764705882
0,2,1,0,491,16.0
0,2,1,0,397,19.0
1,1,0,0,127,34.0
1,0,0,0,61,39.0
0,2,0,0,191,29.69911764705882
1,2,1,0,627,32.0
1,1,0,1,117,25.0
1,0,0,1,70,39.0
0,1,1,0,207,54.0
0,0,1,0,58,36.0
0,2,1,0,270,29.69911764705882
1,0,0,2,1,18.0
0,1,1,0,113,47.0
0,2,1,0,66,22.0
0,2,1,0,487,29.69911764705882
0,2,1,0,622,35.0
1,0,0,0,430,52.0
0,2,1,0,503,47.0
0,2,0,2,410,29.69911764705882
0,1,1,0,592,37.0
0,2,1,1,285,36.0
1,1,0,0,138,29.69911764705882
0,2,1,0,543,49.0
0,2,1,0,174,29.69911764705882
1,0,1,0,553,49.0
1,1,0,1,126,24.0
0,2,1,0,337,29.69911764705882
0,0,1,0,39,29.69911764705882
0,2,1,0,406,44.0
1,0,1,0,7,35.0
0,2,1,0,373,36.0
0,2,1,0,362,30.0
1,0,1,0,42,27.0
1,1,0,2,600,22.0
1,0,0,0,557,40.0
0,2,0,5,310,39.0
0,2,1,0,604,29.69911764705882
1,2,0,0,420,29.69911764705882
0,2,1,0,441,29.69911764705882
0,2,1,0,407,35.0
1,1,0,2,91,24.0
0,2,1,1,308,34.0
0,2,0,0,507,26.0
1,1,0,1,99,4.0
0,1,1,0,233,26.0
0,2,1,0,170,27.0
1,0,1,0,47,42.0
1,2,1,1,169,20.0
0,2,1,0,377,21.0
0,2,1,0,468,21.0
1,0,0,0,60,21.0
0,2,1,0,346,26.0
0,2,1,0,266,29.69911764705882
0,2,1,0,322,51.0
1,0,1,0,59,32.0
0,0,1,0,11,29.69911764705882
0,2,0,2,314,9.0
1,1,0,0,114,28.0
0,2,1,0,630,32.0
0,1,1,1,525,31.0
0,2,0,5,230,41.0
0,2,1,0,450,29.69911764705882
0,2,1,0,386,20.0
1,0,0,0,550,24.0
1,2,1,0,67,29.69911764705882
1,0,1,0,556,48.0
0,2,1,0,350,19.0
0,2,1,0,587,29.69911764705882
1,2,0,0,536,23.0
0,2,1,0,343,29.69911764705882
1,1,0,1,102,18.0
0,2,1,0,484,21.0
1,2,0,0,257,29.69911764705882
0,2,0,0,415,18.0
0,1,1,0,588,24.0
0,2,1,0,345,29.69911764705882
0,2,0,1,411,32.0
0,1,1,0,222,23.0
1,0,1,0,573,50.0
0,2,1,0,155,40.0
0,0,1,0,469,47.0
0,2,1,0,334,36.0
1,2,1,0,626,20.0
0,1,1,0,588,32.0
0,1,1,0,108,25.0
0,2,1,0,236,29.69911764705882
0,2,1,0,500,43.0
1,0,0,0,85,29.69911764705882
1,1,0,1,221,40.0
0,0,1,0,538,31.0
1,1,1,0,129,31.0
0,1,1,0,122,29.69911764705882
0,2,1,0,374,18.0
0,2,1,0,273,24.5
1,2,0,0,466,18.0
0,2,0,6,535,43.0
1,0,1,1,575,36.0
0,2,0,0,261,29.69911764705882
1,0,1,0,556,27.0
0,2,1,0,473,20.0
0,2,1,2,535,14.0
0,1,1,2,600,25.0
0,2,1,1,230,14.0
0,2,1,0,349,19.0
0,2,1,0,380,18.0
1,0,0,1,125,15.0
1,0,1,0,76,31.0
1,2,0,1,370,4.0
1,2,1,0,67,29.69911764705882
0,2,1,0,182,25.0
0,1,1,0,139,52.0
0,2,1,0,402,44.0
1,2,0,0,396,29.69911764705882
0,0,1,1,70,49.0
0,2,1,0,323,42.0
1,0,0,0,577,18.0
1,0,1,0,548,35.0
0,2,0,1,193,18.0
0,2,1,0,425,25.0
0,2,1,0,375,26.0
0,1,1,0,153,39.0
1,1,0,0,93,45.0
1,0,1,0,549,42.0
1,0,0,0,33,22.0
1,2,1,1,171,29.69911764705882
1,0,0,0,551,24.0
0,0,1,0,17,29.69911764705882
1,0,1,0,85,48.0
0,2,1,0,478,29.0
0,1,1,0,147,52.0
0,2,1,0,325,19.0
1,0,0,0,577,38.0
1,1,0,0,272,27.0
0,2,1,0,416,29.69911764705882
0,2,1,0,296,33.0
1,1,0,1,138,6.0
0,2,1,0,385,17.0
0,1,1,0,55,34.0
0,1,1,0,144,50.0
1,0,1,0,43,27.0
0,2,1,0,246,20.0
1,1,0,0,232,30.0
1,2,0,0,427,29.69911764705882
0,1,1,0,112,25.0
0,2,0,0,633,25.0
1,0,0,0,125,29.0
0,2,1,0,198,11.0
0,1,1,0,121,29.69911764705882
0,1,1,0,209,23.0
0,1,1,0,104,23.0
0,2,1,0,468,28.5
0,2,0,3,642,48.0
1,0,1,0,575,35.0
0,2,1,0,326,29.69911764705882
0,2,1,0,341,29.69911764705882
1,0,1,0,69,29.69911764705882
0,0,1,0,77,36.0
1,0,0,2,571,21.0
0,2,1,0,451,24.0
1,2,1,0,628,31.0
0,2,1,1,520,16.0
1,1,0,0,148,30.0
0,0,1,0,31,19.0
0,2,1,0,267,31.0
1,1,0,1,215,4.0
1,2,1,1,460,6.0
0,2,1,0,290,33.0
0,2,1,0,328,23.0
1,1,0,2,91,48.0
0,2,1,0,381,28.0
0,1,1,0,219,18.0
0,2,1,0,401,34.0
1,0,0,0,0,33.0
0,2,1,0,397,29.69911764705882
0,2,1,0,612,41.0
1,2,1,0,173,20.0
1,0,0,2,29,36.0
0,2,1,0,304,16.0
1,0,0,0,60,51.0
0,0,1,0,16,29.69911764705882
0,2,0,0,412,30.5
0,2,1,0,443,29.69911764705882
0,2,1,0,483,32.0
0,2,1,0,291,24.0
0,2,1,0,384,48.0
0,2,1,0,183,29.69911764705882
1,1,0,3,217,54.0
0,2,1,0,307,18.0
0,2,1,0,455,29.69911764705882
1,2,0,0,408,5.0
0,2,1,0,426,29.69911764705882
1,0,0,1,125,43.0
1,2,0,0,190,13.0
1,0,0,0,76,17.0
0,0,1,0,24,29.0
0,2,1,2,641,29.69911764705882
0,2,1,0,609,25.0
0,2,1,0,448,25.0
1,2,0,0,224,18.0
0,2,1,1,454,8.0
0,0,1,0,561,46.0
0,2,1,0,56,29.69911764705882
0,1,1,0,123,16.0
0,2,0,2,537,29.69911764705882
0,0,1,0,566,29.69911764705882
0,2,1,0,327,25.0
0,1,1,0,204,39.0
1,0,0,0,74,49.0
1,2,0,0,360,31.0
0,2,1,0,188,30.0
0,2,0,1,285,30.0
0,1,1,0,147,34.0
1,1,0,1,525,31.0
1,0,1,2,29,11.0
1,2,1,0,315,27.0
0,2,1,0,297,31.0
0,0,1,0,10,39.0
0,2,0,0,313,18.0
0,1,1,0,137,39.0
1,0,0,0,43,33.0
0,2,1,0,316,26.0
0,2,1,0,490,39.0
0,1,1,0,203,35.0
0,2,0,2,310,6.0
0,2,1,0,404,30.5
0,0,1,0,13,29.69911764705882
0,2,0,0,637,23.0
0,1,1,1,585,31.0
0,2,1,0,514,43.0
0,2,1,2,314,10.0
1,0,0,1,57,52.0
1,2,1,0,249,27.0
0,0,1,0,83,38.0
1,2,0,1,460,27.0
0,2,1,0,424,29.69911764705882
0,2,1,0,67,29.69911764705882
1,2,1,0,418,29.69911764705882
1,2,0,0,170,15.0
0,2,1,0,181,29.69911764705882
0,2,1,0,319,23.0
0,2,1,0,92,18.0
1,0,0,1,576,39.0
0,2,1,0,248,21.0
0,2,1,0,459,29.69911764705882
1,2,1,0,67,32.0
1,0,1,0,52,29.69911764705882
0,2,1,0,613,20.0
0,1,1,0,586,16.0
1,0,0,0,40,30.0
0,2,1,0,187,34.5
0,2,1,0,244,17.0
0,2,1,0,532,42.0
0,2,1,2,537,29.69911764705882
0,2,1,0,336,35.0
0,1,1,1,138,28.0
1,0,0,0,71,29.69911764705882
0,2,1,2,310,4.0
0,2,0,1,185,9.0
1,0,0,1,560,16.0
0,1,0,0,128,44.0
1,2,0,1,458,18.0
1,0,0,1,429,45.0
1,0,1,0,21,51.0
1,2,0,3,176,24.0
0,2,1,0,160,29.69911764705882
0,2,1,0,376,41.0
0,1,1,0,202,21.0
1,0,0,0,75,48.0
0,2,0,2,537,29.69911764705882
0,1,1,0,105,24.0
1,1,0,0,111,42.0
1,1,0,0,598,27.0
0,0,1,0,559,31.0
0,2,1,0,287,29.69911764705882
1,2,1,1,321,4.0
0,2,1,0,364,26.0
1,0,0,1,45,47.0
0,0,1,0,474,33.0
0,2,1,0,281,47.0
1,1,0,0,544,28.0
1,2,0,0,177,15.0
0,2,1,0,476,20.0
0,2,1,0,335,19.0
0,2,1,0,340,29.69911764705882
1,1,0,1,100,25.0
0,2,1,0,371,33.0
0,2,0,0,480,22.0
0,1,1,0,534,28.0
0,2,1,0,616,25.0
0,2,0,5,454,39.0
0,1,1,0,87,27.0
1,0,0,0,12,19.0
0,2,0,2,641,29.69911764705882
1,0,1,0,6,26.0
0,2,1,0,440,32.0
