Survived,Sex,SibSp,Parch,Ticket,Age,Fare
1,male,0,0,65306,29.69911764705882,8.1125
1,female,0,1,250644,13.0,19.5
1,male,0,0,113794,34.0,26.55
1,female,2,1,2666,5.0,19.2583
1,male,0,0,113786,52.0,30.5
0,male,1,2,C.A. 34651,36.0,27.75
0,male,1,0,65303,29.69911764705882,19.9667
0,male,0,0,113051,30.0,27.75
0,male,0,0,A/5 2817,29.69911764705882,8.05
1,male,0,0,349240,29.0,7.8958
1,female,1,0,17464,29.69911764705882,51.8625
1,female,0,0,F.C.C. 13531,50.0,10.5
0,male,0,0,371060,29.69911764705882,7.75
1,male,0,0,19952,48.0,26.55
0,male,0,0,364506,34.0,8.05
0,male,0,0,111320,47.0,38.5
0,male,0,0,234360,48.0,13.0
0,male,0,0,A/S 2816,29.69911764705882,8.05
0,male,0,0,SOTON/O.Q. 3101306,38.0,7.05
0,male,0,0,239853,29.69911764705882,0.0
0,male,0,0,36209,29.69911764705882,7.725
0,male,0,0,323592,29.69911764705882,7.25
0,male,0,0,315089,38.0,8.6625
1,female,1,2,C.A. 34651,33.0,27.75
1,female,0,0,SC/AH Basle 541,23.0,13.7917
0,female,0,0,7553,22.0,9.8375
0,male,0,0,110465,29.69911764705882,52.0
0,male,1,0,31027,34.0,21.0
0,male,1,0,3460,29.0,7.0458
0,male,0,0,350060,22.0,7.5208
0,male,5,2,CA 2144,9.0,46.9
0,male,0,0,239854,29.69911764705882,0.0
0,male,0,0,A/5 3594,50.0,8.05
0,female,3,1,4133,29.69911764705882,25.4667
0,male,0,0,A.5. 18509,30.0,8.05
1,male,1,1,C.A. 37671,9.0,15.9
0,male,1,0,65304,29.69911764705882,19.9667
0,male,0,0,SOTON/OQ 3101317,21.0,7.25
0,male,0,0,A/4 45380,21.0,8.05
0,male,0,0,2627,29.69911764705882,14.4583
0,male,0,0,C.A. 6212,29.69911764705882,15.1
0,male,0,0,350035,24.0,7.7958
0,male,0,0,315086,17.0,8.6625
0,female,0,0,364846,21.0,7.75
0,female,0,0,330909,29.69911764705882,7.6292
0,female,0,0,4135,37.0,9.5875
1,female,0,2,26360,33.0,26.0
1,male,0,0,111427,29.69911764705882,26.55
0,male,0,0,C 4001,28.0,22.525
1,male,0,0,1601,26.0,56.4958
1,male,0,0,382651,29.0,7.75
0,male,0,0,SOTON/OQ 3101316,29.69911764705882,8.05
1,male,0,0,PC 17473,36.0,26.2875
1,female,1,0,PC 17603,54.0,59.4
0,male,0,0,349209,24.0,7.4958
0,male,0,0,36967,47.0,34.0208
1,female,0,0,C.A. 34260,34.0,10.5
0,male,0,0,371110,29.69911764705882,24.15
1,female,1,0,226875,36.0,26.0
0,male,0,0,349242,32.0,7.8958
0,male,0,0,349252,22.0,7.8958
0,male,0,0,2624,29.69911764705882,7.225
1,female,0,1,111361,44.0,57.9792
0,male,0,0,2700,29.69911764705882,7.2292
0,male,0,0,367232,40.5,7.75
1,female,0,0,W./C. 14258,50.0,10.5
0,male,0,0,3101296,39.0,7.925
0,male,2,1,29104,23.0,11.5
0,male,0,0,2641,29.69911764705882,7.2292
0,male,1,1,2690,17.0,7.2292
1,female,0,2,2668,29.69911764705882,22.3583
0,female,0,0,315084,30.0,8.6625
1,female,0,2,F.C.C. 13529,7.0,26.25
0,male,0,0,113050,45.0,26.55
0,male,0,0,364498,29.69911764705882,14.5
1,female,0,2,13568,22.0,49.5
0,female,4,2,347082,9.0,31.275
0,female,4,2,347082,11.0,31.275
1,male,1,0,2908,32.0,26.0
1,female,1,0,2908,19.0,26.0
1,male,0,0,SC/PARIS 2146,29.69911764705882,13.8625
0,male,1,1,363291,33.0,20.525
1,male,1,1,C.A. 33112,8.0,36.75
0,male,0,0,244358,27.0,26.0
0,male,0,0,330979,29.69911764705882,7.8292
1,male,0,0,2620,22.0,7.225
1,female,0,0,347085,22.0,7.775
1,female,1,0,11755,48.0,39.6
1,female,1,0,345572,36.0,17.4
0,male,0,0,372622,29.69911764705882,7.75
0,male,0,0,349251,40.0,7.8958
0,male,0,0,218629,28.0,13.5
0,male,0,0,SOTON/OQ 392082,29.69911764705882,8.05
0,female,0,0,SOTON/O.Q. 392087,29.69911764705882,8.05
0,male,2,0,A/4 48871,24.0,24.15
0,male,0,0,349205,19.0,7.8958
0,female,0,4,349909,29.0,21.075
0,male,0,0,2686,29.69911764705882,7.2292
1,male,0,0,350417,32.0,7.8542
1,female,2,0,11769,53.0,51.4792
1,male,0,0,PC 17474,36.0,26.3875
1,female,0,0,14312,29.69911764705882,7.75
0,male,0,0,A/4. 20589,16.0,8.05
0,male,0,0,358585,19.0,14.5
1,female,0,0,243880,34.0,13.0
1,female,1,0,13507,39.0,55.9
0,female,1,0,2689,29.69911764705882,14.4583
1,male,0,0,STON/O 2. 3101286,32.0,7.925
1,female,1,1,237789,25.0,30.0
0,male,0,0,28403,54.0,26.0
0,male,0,0,13049,36.0,40.125
0,male,0,0,3411,29.69911764705882,8.7125
0,male,0,0,237565,47.0,15.0
0,male,0,0,14973,22.0,8.05
0,male,0,0,A./5. 3235,29.69911764705882,8.05
0,male,0,0,STON/O 2. 3101273,35.0,7.125
0,male,0,0,A/5 3902,47.0,7.25
0,female,0,2,364848,29.69911764705882,7.75
0,male,1,0,SC/AH 29037,37.0,26.0
0,male,1,1,345773,36.0,24.15
1,female,0,0,248727,29.69911764705882,33.0
0,male,0,0,LINE,49.0,0.0
0,male,0,0,2664,29.69911764705882,7.225
1,male,1,0,PC 17485,49.0,56.9292
1,female,2,1,243847,24.0,27.0
0,male,0,0,349214,29.69911764705882,7.8958
0,male,0,0,113796,29.69911764705882,42.4
0,male,0,0,364511,44.0,8.05
1,male,0,0,111426,35.0,26.55
0,male,1,0,349910,36.0,15.55
0,male,0,0,349246,30.0,7.8958
1,male,0,0,113804,27.0,30.5
1,female,1,2,SC/Paris 2123,22.0,41.5792
0,female,1,5,347082,39.0,31.275
0,male,0,0,SOTON/O.Q. 3101305,29.69911764705882,7.05
1,female,1,0,367230,29.69911764705882,15.5
0,male,0,0,370377,29.69911764705882,7.75
0,male,0,0,364512,35.0,8.05
0,male,1,1,347080,34.0,14.4
0,female,1,0,A/5. 3336,26.0,16.1
1,female,2,1,230136,4.0,39.0
0,male,0,0,31028,26.0,10.5
0,male,1,0,2659,27.0,14.4542
1,male,1,0,11753,42.0,52.5542
1,male,1,1,2653,20.0,15.7417
0,male,0,0,350029,21.0,7.8542
0,male,0,0,54636,21.0,16.1
0,male,0,0,349224,26.0,7.8958
0,male,0,0,334912,29.69911764705882,7.7333
0,male,0,0,347743,51.0,7.0542
1,male,0,0,13214,32.0,30.5
0,male,0,0,112052,29.69911764705882,0.0
0,female,3,2,347088,9.0,27.9
1,female,0,0,237668,28.0,13.0
0,male,0,0,STON/O 2. 3101292,32.0,7.925
0,male,1,1,C.A. 31921,31.0,26.25
0,female,0,5,3101295,41.0,39.6875
0,male,1,0,376564,29.69911764705882,16.1
0,male,0,0,350050,20.0,7.8542
1,male,0,0,1601,29.69911764705882,56.4958
0,male,0,0,349231,19.0,7.8958
0,male,0,0,S.O./P.P. 751,29.69911764705882,7.55
1,female,0,0,CA. 2314,23.0,7.55
0,male,0,0,349221,29.69911764705882,7.8958
1,female,0,1,231919,18.0,23.0
0,male,0,0,8475,21.0,8.4333
1,female,0,0,330919,29.69911764705882,7.8292
0,female,0,0,365226,18.0,6.75
0,male,0,0,349223,29.69911764705882,7.8958
0,female,1,1,364849,32.0,15.5
0,male,0,0,29751,23.0,13.0
0,male,0,0,2623,40.0,7.225
0,male,0,0,5727,47.0,25.5875
0,male,0,0,349210,36.0,7.4958
1,male,1,0,STON/O 2. 3101285,20.0,7.925
0,male,0,0,234686,25.0,13.0
0,male,0,0,312993,29.69911764705882,7.775
0,male,0,0,A/5 3536,43.0,8.05
1,female,1,0,19996,29.69911764705882,52.0
1,female,1,1,29750,40.0,39.0
0,male,1,0,F.C. 12750,31.0,52.0
1,male,0,0,244270,31.0,13.0
0,male,0,0,239856,29.69911764705882,0.0
0,male,0,0,349912,18.0,7.775
0,male,0,0,342826,24.5,8.05
1,female,0,0,4138,18.0,9.8417
0,female,1,6,CA 2144,43.0,46.9
0,female,0,0,330935,29.69911764705882,8.1375
0,male,0,0,6563,20.0,9.225
0,male,5,2,CA 2144,14.0,46.9
0,male,1,2,SC/Paris 2123,25.0,41.5792
0,male,4,1,3101295,14.0,39.6875
0,male,0,0,349228,19.0,10.1708
0,male,0,0,350036,18.0,7.7958
1,male,1,0,17474,31.0,57.0
1,female,0,1,349256,4.0,13.4167
1,male,0,0,1601,29.69911764705882,56.4958
0,male,0,0,2672,25.0,7.225
0,male,0,0,248731,52.0,13.5
0,male,0,0,363592,44.0,8.05
1,female,0,0,35852,29.69911764705882,7.7333
0,male,0,0,348121,42.0,7.65
1,male,0,0,PC 17475,35.0,26.2875
0,female,0,1,2691,18.0,14.4542
0,male,0,0,36864,25.0,7.7417
0,male,1,0,350025,26.0,7.8542
0,male,0,0,250655,39.0,26.0
1,female,0,0,223596,45.0,13.5
1,male,0,0,PC 17476,42.0,26.2875
1,male,1,1,2661,29.69911764705882,15.2458
1,female,0,0,PC 17482,24.0,49.5042
0,male,0,0,113028,29.69911764705882,26.55
1,male,1,0,19996,48.0,52.0
0,male,0,0,7545,29.0,9.4833
0,male,0,0,250647,52.0,13.0
0,male,0,0,348124,19.0,7.65
1,female,0,0,34218,27.0,10.5
0,male,0,0,36568,29.69911764705882,15.5
0,male,0,0,347062,33.0,7.775
1,female,0,1,248727,6.0,33.0
0,male,1,0,350048,17.0,7.0542
0,male,0,0,12233,34.0,13.0
0,male,0,0,250643,50.0,13.0
1,male,1,0,113806,27.0,53.1
0,male,0,0,315094,20.0,8.6625
1,female,3,0,31027,30.0,21.0
1,female,0,0,36866,29.69911764705882,7.7375
0,male,1,0,236853,25.0,26.0
0,female,1,0,STON/O2. 3101271,25.0,7.925
0,male,0,0,2699,11.0,18.7875
0,male,0,0,239855,29.69911764705882,0.0
0,male,0,0,28425,23.0,13.0
0,male,0,0,233639,23.0,13.0
0,male,0,0,54636,28.5,16.1
0,female,1,3,W./C. 6608,48.0,34.375
0,male,0,0,349201,29.69911764705882,7.8958
0,male,0,0,349218,29.69911764705882,7.8958
1,male,0,0,16988,29.69911764705882,30.0
0,male,1,0,376566,24.0,16.1
1,male,0,0,STON/O 2. 3101288,31.0,7.925
0,male,1,1,C.A. 2673,16.0,20.25
1,female,0,0,250648,30.0,13.0
0,male,1,0,113773,19.0,53.1
0,male,0,0,335097,31.0,7.75
1,female,1,1,29103,4.0,23.0
1,male,0,1,392096,6.0,12.475
0,male,0,0,345780,33.0,9.5
0,male,0,0,349204,23.0,7.8958
0,male,0,0,350042,28.0,7.7958
0,male,0,0,29108,18.0,11.5
0,male,0,0,363294,34.0,8.05
0,male,0,0,358585,29.69911764705882,14.5
0,male,0,0,SOTON/O2 3101272,41.0,7.125
1,male,0,0,2663,20.0,7.2292
0,male,0,0,347074,16.0,7.775
0,male,0,0,112379,29.69911764705882,39.6
0,female,0,0,364850,30.5,7.75
0,male,1,0,371110,29.69911764705882,24.15
0,male,0,0,8471,32.0,8.3625
0,male,0,0,345781,24.0,9.5
0,male,0,0,350047,48.0,7.8542
0,male,0,0,2674,29.69911764705882,7.225
1,female,1,3,29105,54.0,23.0
0,male,0,0,347078,18.0,7.75
0,male,0,0,383121,29.69911764705882,7.75
1,female,0,0,364516,5.0,12.475
0,male,0,0,36865,29.69911764705882,7.7375
1,female,0,0,2687,13.0,7.2292
1,female,1,0,17474,17.0,57.0
0,male,0,0,113501,29.0,30.0
0,male,1,2,W./C. 6607,29.69911764705882,23.45
0,male,0,0,SOTON/O.Q. 3101312,25.0,7.05
0,male,0,0,374887,25.0,7.25
1,female,0,0,3101265,18.0,7.4958
0,male,4,1,382652,8.0,29.125
0,male,0,0,12460,29.69911764705882,7.75
0,male,0,0,239865,16.0,26.0
0,male,0,0,PC 17600,29.69911764705882,30.6958
0,male,0,0,349203,25.0,7.8958
0,male,0,0,28213,39.0,13.0
1,female,0,0,17465,49.0,25.9292
1,female,0,0,349244,31.0,8.6833
0,male,0,0,2685,30.0,7.2292
0,female,1,1,345773,30.0,24.15
0,male,0,0,250647,34.0,13.0
1,female,1,1,C.A. 31921,31.0,26.25
1,male,0,0,347089,27.0,6.975
0,male,0,0,347063,31.0,7.775
0,male,0,0,112050,39.0,0.0
0,female,0,0,347087,18.0,7.775
0,male,0,0,248723,39.0,13.0
1,female,1,0,113806,33.0,53.1
0,male,0,0,3474,26.0,7.8875
0,male,0,0,A/4 48871,39.0,24.15
0,male,0,0,28206,35.0,10.5
0,female,4,2,347082,6.0,31.275
0,male,0,0,364499,30.5,8.05
0,male,0,0,112058,29.69911764705882,0.0
0,female,0,0,STON/O2. 3101290,23.0,7.925
0,male,1,1,S.C./PARIS 2079,31.0,37.0042
0,male,0,0,C 7075,43.0,6.45
0,male,3,2,347088,10.0,27.9
1,male,0,0,315098,27.0,8.6625
0,male,0,0,19972,38.0,0.0
1,female,0,1,392096,27.0,12.475
0,male,0,0,368323,29.69911764705882,6.95
0,male,0,0,1601,29.69911764705882,56.4958
1,male,0,0,367228,29.69911764705882,7.75
1,female,1,0,2659,15.0,14.4542
0,male,0,0,2671,29.69911764705882,7.2292
0,male,0,0,347468,23.0,7.8542
0,male,0,0,2223,18.0,8.3
0,male,0,0,315097,21.0,8.6625
0,male,0,0,392092,29.69911764705882,8.05
1,male,0,0,1601,32.0,56.4958
1,male,0,0,11774,29.69911764705882,29.7
0,male,0,0,SOTON/O2 3101287,20.0,7.925
0,male,0,0,S.O./P.P. 3,16.0,10.5
1,female,0,0,113798,30.0,31.0
0,male,0,0,2683,34.5,6.4375
0,male,0,0,315090,17.0,8.6625
0,male,0,0,C.A. 5547,42.0,7.55
0,male,0,0,349213,35.0,7.8958
0,male,0,1,248727,28.0,33.0
0,male,4,2,347082,4.0,31.275
0,female,1,1,2678,9.0,15.2458
1,female,0,1,PC 17592,16.0,39.4
0,female,1,0,244252,44.0,26.0
1,female,0,1,392091,18.0,9.35
1,male,0,0,113055,51.0,26.55
1,female,0,3,2666,24.0,19.2583
0,male,0,0,2629,29.69911764705882,7.2292
0,male,2,0,350026,41.0,14.1083
0,male,1,0,28134,21.0,11.5
1,female,0,0,17466,48.0,25.9292
0,male,0,0,233866,24.0,13.0
1,female,0,0,236852,42.0,13.0
1,female,1,0,SC/PARIS 2149,27.0,13.8583
0,male,0,0,PC 17590,31.0,50.4958
0,male,0,0,345777,29.69911764705882,9.5
1,male,1,1,347742,4.0,11.1333
0,male,0,0,349248,26.0,7.8958
1,female,1,1,11751,47.0,52.5542
0,male,0,0,695,33.0,5.0
0,male,0,0,345765,47.0,9.0
1,female,1,0,P/PP 3381,28.0,24.0
1,female,0,0,2667,15.0,7.225
0,male,0,0,7534,20.0,9.8458
0,male,0,0,349212,19.0,7.8958
0,male,0,0,349217,29.69911764705882,7.8958
1,female,0,1,230433,25.0,26.0
0,male,0,0,349257,33.0,7.8958
0,female,0,0,7552,22.0,10.5167
0,male,0,0,C.A./SOTON 34068,28.0,10.5
0,male,0,0,SOTON/OQ 392076,25.0,7.05
0,female,0,5,382652,39.0,29.125
0,male,0,0,211536,27.0,13.0
1,female,0,0,112053,19.0,30.0
0,female,1,2,W./C. 6607,29.69911764705882,23.45
1,male,0,0,111369,26.0,30.0
0,male,0,0,370376,32.0,7.75
