Survived,Pclass,Sex,Age,Parch,Ticket
0,3,male,25.0,0,347076
1,2,female,28.0,0,230434
1,3,male,29.69911764705882,0,65306
1,1,male,4.0,2,33638
1,2,female,13.0,1,250644
1,1,male,34.0,0,113794
1,3,female,5.0,1,2666
1,1,male,52.0,0,113786
0,2,male,36.0,2,C.A. 34651
0,3,male,29.69911764705882,0,65303
0,1,male,30.0,0,113051
1,1,male,49.0,0,17453
0,3,male,29.69911764705882,0,A/5 2817
1,3,male,29.0,0,349240
0,1,male,65.0,0,13509
1,1,female,29.69911764705882,0,17464
1,2,female,50.0,0,F.C.C. 13531
0,3,male,29.69911764705882,0,371060
1,1,male,48.0,0,19952
0,3,male,34.0,0,364506
0,1,male,47.0,0,111320
0,2,male,48.0,0,234360
0,3,male,29.69911764705882,0,A/S 2816
0,3,male,38.0,0,SOTON/O.Q. 3101306
0,2,male,29.69911764705882,0,239853
0,1,male,56.0,0,113792
0,3,male,29.69911764705882,0,36209
1,3,female,0.75,1,2666
0,3,male,29.69911764705882,0,323592
0,3,male,38.0,0,315089
1,2,female,33.0,2,C.A. 34651
1,2,female,23.0,0,SC/AH Basle 541
0,3,female,22.0,0,7553
0,1,male,29.69911764705882,0,110465
0,2,male,34.0,0,31027
0,3,male,29.0,0,3460
0,3,male,22.0,0,350060
1,3,female,2.0,1,3101298
0,3,male,9.0,2,CA 2144
0,2,male,29.69911764705882,0,239854
0,3,male,50.0,0,A/5 3594
1,3,female,63.0,0,4134
1,1,male,25.0,0,11967
0,3,female,29.69911764705882,1,4133
1,1,female,35.0,0,19943
0,1,male,58.0,0,11771
0,3,male,30.0,0,A.5. 18509
1,3,male,9.0,1,C.A. 37671
0,3,male,29.69911764705882,0,65304
0,3,male,21.0,0,SOTON/OQ 3101317
0,1,male,55.0,0,113787
0,1,male,71.0,0,PC 17609
0,3,male,21.0,0,A/4 45380
0,3,male,29.69911764705882,0,2627
1,1,female,54.0,0,36947
0,3,male,29.69911764705882,0,C.A. 6212
0,1,female,25.0,2,113781
0,3,male,24.0,0,350035
0,3,male,17.0,0,315086
0,3,female,21.0,0,364846
0,3,female,29.69911764705882,0,330909
0,3,female,37.0,0,4135
1,1,female,16.0,0,110152
0,1,male,18.0,0,PC 17758
1,2,female,33.0,2,26360
1,1,male,29.69911764705882,0,111427
0,3,male,28.0,0,C 4001
1,3,male,26.0,0,1601
1,3,male,29.0,0,382651
0,3,male,29.69911764705882,0,SOTON/OQ 3101316
1,1,male,36.0,0,PC 17473
1,1,female,54.0,0,PC 17603
0,3,male,24.0,0,349209
0,1,male,47.0,0,36967
1,2,female,34.0,0,C.A. 34260
0,3,male,29.69911764705882,0,371110
1,2,female,36.0,0,226875
0,3,male,32.0,0,349242
1,1,female,30.0,0,12749
0,3,male,22.0,0,349252
0,3,male,29.69911764705882,0,2624
1,1,female,44.0,1,111361
0,3,male,29.69911764705882,0,2700
0,3,male,40.5,0,367232
1,2,female,50.0,0,W./C. 14258
0,1,male,29.69911764705882,0,PC 17483
0,3,male,39.0,0,3101296
0,2,male,23.0,1,29104
1,2,female,2.0,1,26360
0,3,male,29.69911764705882,0,2641
0,3,male,17.0,1,2690
1,3,female,29.69911764705882,2,2668
0,3,female,30.0,0,315084
1,2,female,7.0,2,F.C.C. 13529
0,1,male,45.0,0,113050
1,1,female,30.0,0,PC 17761
0,3,male,29.69911764705882,0,364498
1,1,female,22.0,2,13568
1,1,female,36.0,2,WE/P 5735
0,3,female,9.0,2,347082
0,3,female,11.0,2,347082
1,2,male,32.0,0,2908
0,1,male,50.0,0,PC 17761
0,1,male,64.0,0,693
1,2,female,19.0,0,2908
1,2,male,29.69911764705882,0,SC/PARIS 2146
0,3,male,33.0,1,363291
1,2,male,8.0,1,C.A. 33112
1,1,male,17.0,2,17421
0,2,male,27.0,0,244358
0,3,male,29.69911764705882,0,330979
1,3,male,22.0,0,2620
1,3,female,22.0,0,347085
0,1,male,62.0,0,113807
1,1,female,48.0,0,11755
0,1,male,29.69911764705882,0,PC 17757
1,1,female,39.0,1,110413
1,3,female,36.0,0,345572
0,3,male,29.69911764705882,0,372622
0,3,male,40.0,0,349251
0,2,male,28.0,0,218629
0,3,male,29.69911764705882,0,SOTON/OQ 392082
0,3,female,29.69911764705882,0,SOTON/O.Q. 392087
0,3,male,24.0,0,A/4 48871
0,3,male,19.0,0,349205
0,3,female,29.0,4,349909
0,3,male,29.69911764705882,0,2686
1,3,male,32.0,0,350417
1,2,male,62.0,0,S.W./PP 752
1,1,female,53.0,0,11769
1,1,male,36.0,0,PC 17474
1,3,female,29.69911764705882,0,14312
0,3,male,16.0,0,A/4. 20589
0,3,male,19.0,0,358585
1,2,female,34.0,0,243880
1,1,female,39.0,0,13507
0,3,female,29.69911764705882,0,2689
1,3,male,32.0,0,STON/O 2. 3101286
1,2,female,25.0,1,237789
1,1,female,39.0,1,17421
0,2,male,54.0,0,28403
0,1,male,36.0,0,13049
0,3,male,29.69911764705882,0,3411
1,1,female,18.0,2,110413
0,2,male,47.0,0,237565
1,1,male,60.0,1,13567
0,3,male,22.0,0,14973
0,3,male,29.69911764705882,0,A./5. 3235
0,3,male,35.0,0,STON/O 2. 3101273
1,1,female,52.0,0,36947
0,3,male,47.0,0,A/5 3902
0,3,female,29.69911764705882,2,364848
0,2,male,37.0,0,SC/AH 29037
0,3,male,36.0,1,345773
1,2,female,29.69911764705882,0,248727
0,3,male,49.0,0,LINE
0,3,male,29.69911764705882,0,2664
1,1,male,49.0,0,PC 17485
1,2,female,24.0,1,243847
0,3,male,29.69911764705882,0,349214
0,1,male,29.69911764705882,0,113796
0,3,male,44.0,0,364511
1,1,male,35.0,0,111426
0,3,male,36.0,0,349910
0,3,male,30.0,0,349246
1,1,male,27.0,0,113804
1,2,female,22.0,2,SC/Paris 2123
1,1,female,40.0,0,PC 17582
0,3,female,39.0,5,347082
0,3,male,29.69911764705882,0,SOTON/O.Q. 3101305
1,3,female,29.69911764705882,0,367230
0,3,male,29.69911764705882,0,370377
0,3,male,35.0,0,364512
1,2,female,24.0,2,220845
0,3,male,34.0,1,347080
0,3,female,26.0,0,A/5. 3336
1,2,female,4.0,1,230136
0,2,male,26.0,0,31028
0,3,male,27.0,0,2659
1,1,male,42.0,0,11753
1,3,male,20.0,1,2653
0,3,male,21.0,0,350029
0,3,male,21.0,0,54636
0,1,male,61.0,0,36963
0,2,male,57.0,0,219533
1,1,female,21.0,0,13502
0,3,male,26.0,0,349224
0,3,male,29.69911764705882,0,334912
1,1,male,80.0,0,27042
0,3,male,51.0,0,347743
1,1,male,32.0,0,13214
0,1,male,29.69911764705882,0,112052
0,3,female,9.0,2,347088
1,2,female,28.0,0,237668
0,3,male,32.0,0,STON/O 2. 3101292
0,2,male,31.0,1,C.A. 31921
0,3,female,41.0,5,3101295
0,3,male,29.69911764705882,0,376564
0,3,male,20.0,0,350050
1,1,female,24.0,0,PC 17477
0,3,female,2.0,2,347088
1,3,male,29.69911764705882,0,1601
1,3,female,0.75,1,2666
1,1,male,48.0,0,PC 17572
0,3,male,19.0,0,349231
1,1,male,56.0,0,13213
0,3,male,29.69911764705882,0,S.O./P.P. 751
1,3,female,23.0,0,CA. 2314
0,3,male,29.69911764705882,0,349221
1,2,female,18.0,1,231919
0,3,male,21.0,0,8475
1,3,female,29.69911764705882,0,330919
0,3,female,18.0,0,365226
0,2,male,24.0,0,S.O.C. 14879
0,3,male,29.69911764705882,0,349223
0,3,female,32.0,1,364849
0,2,male,23.0,0,29751
0,1,male,58.0,2,35273
1,1,male,50.0,0,PC 17611
0,3,male,40.0,0,2623
0,1,male,47.0,0,5727
0,3,male,36.0,0,349210
1,3,male,20.0,0,STON/O 2. 3101285
0,2,male,32.0,0,S.O.C. 14879
0,2,male,25.0,0,234686
0,3,male,29.69911764705882,0,312993
0,3,male,43.0,0,A/5 3536
1,1,female,29.69911764705882,0,19996
1,2,female,40.0,1,29750
0,1,male,31.0,0,F.C. 12750
0,2,male,70.0,0,C.A. 24580
1,2,male,31.0,0,244270
0,2,male,29.69911764705882,0,239856
0,3,male,18.0,0,349912
0,3,male,24.5,0,342826
1,3,female,18.0,0,4138
0,3,female,43.0,6,CA 2144
1,1,male,36.0,1,PC 17755
0,3,female,29.69911764705882,0,330935
1,1,male,27.0,0,PC 17572
0,3,male,20.0,0,6563
0,3,male,14.0,2,CA 2144
0,2,male,60.0,1,29750
0,2,male,25.0,2,SC/Paris 2123
0,3,male,14.0,1,3101295
0,3,male,19.0,0,349228
0,3,male,18.0,0,350036
1,1,female,15.0,1,24160
1,1,male,31.0,0,17474
1,3,female,4.0,1,349256
1,3,male,29.69911764705882,0,1601
0,3,male,25.0,0,2672
0,1,male,60.0,0,113800
0,2,male,52.0,0,248731
0,3,male,44.0,0,363592
1,3,female,29.69911764705882,0,35852
0,1,male,49.0,1,17421
0,3,male,42.0,0,348121
1,1,female,18.0,0,PC 17757
1,1,male,35.0,0,PC 17475
0,3,female,18.0,1,2691
0,3,male,25.0,0,36864
0,3,male,26.0,0,350025
0,2,male,39.0,0,250655
1,2,female,45.0,0,223596
1,1,male,42.0,0,PC 17476
1,1,female,22.0,0,113781
1,3,male,29.69911764705882,1,2661
1,1,female,24.0,0,PC 17482
0,1,male,29.69911764705882,0,113028
1,1,male,48.0,0,19996
0,3,male,29.0,0,7545
0,2,male,52.0,0,250647
0,3,male,19.0,0,348124
1,1,female,38.0,0,PC 17757
1,2,female,27.0,0,34218
0,3,male,29.69911764705882,0,36568
0,3,male,33.0,0,347062
1,2,female,6.0,1,248727
0,3,male,17.0,0,350048
0,2,male,34.0,0,12233
0,2,male,50.0,0,250643
1,1,male,27.0,0,113806
0,3,male,20.0,0,315094
1,2,female,30.0,0,31027
1,3,female,29.69911764705882,0,36866
0,2,male,25.0,0,236853
0,3,female,25.0,0,STON/O2. 3101271
1,1,female,29.0,0,24160
0,3,male,11.0,0,2699
0,2,male,29.69911764705882,0,239855
0,2,male,23.0,0,28425
0,2,male,23.0,0,233639
0,3,male,28.5,0,54636
0,3,female,48.0,3,W./C. 6608
1,1,male,35.0,0,PC 17755
0,3,male,29.69911764705882,0,349201
0,3,male,29.69911764705882,0,349218
1,1,male,29.69911764705882,0,16988
0,1,male,36.0,0,19877
1,1,female,21.0,2,PC 17608
0,3,male,24.0,0,376566
1,3,male,31.0,0,STON/O 2. 3101288
0,1,male,70.0,1,WE/P 5735
0,3,male,16.0,1,C.A. 2673
1,2,female,30.0,0,250648
0,1,male,19.0,0,113773
0,3,male,31.0,0,335097
1,2,female,4.0,1,29103
1,3,male,6.0,1,392096
0,3,male,33.0,0,345780
0,3,male,23.0,0,349204
1,2,female,48.0,2,220845
1,2,male,0.67,1,250649
0,3,male,28.0,0,350042
0,2,male,18.0,0,29108
0,3,male,34.0,0,363294
1,1,female,33.0,0,110152
0,3,male,29.69911764705882,0,358585
0,3,male,41.0,0,SOTON/O2 3101272
1,3,male,20.0,0,2663
1,1,female,36.0,2,113760
0,3,male,16.0,0,347074
1,1,female,51.0,0,13502
0,1,male,29.69911764705882,0,112379
0,3,female,30.5,0,364850
0,3,male,29.69911764705882,0,371110
0,3,male,32.0,0,8471
0,3,male,24.0,0,345781
0,3,male,48.0,0,350047
0,2,female,57.0,0,S.O./P.P. 3
0,3,male,29.69911764705882,0,2674
1,2,female,54.0,3,29105
0,3,male,18.0,0,347078
0,3,male,29.69911764705882,0,383121
1,3,female,5.0,0,364516
0,3,male,29.69911764705882,0,36865
1,1,female,43.0,1,24160
1,3,female,13.0,0,2687
1,1,female,17.0,0,17474
0,1,male,29.0,0,113501
0,3,male,29.69911764705882,2,W./C. 6607
0,3,male,25.0,0,SOTON/O.Q. 3101312
0,3,male,25.0,0,374887
1,3,female,18.0,0,3101265
0,3,male,8.0,1,382652
1,3,male,1.0,2,C.A. 2315
0,1,male,46.0,0,PC 17593
0,3,male,29.69911764705882,0,12460
0,2,male,16.0,0,239865
0,3,female,29.69911764705882,2,CA. 2343
0,1,male,29.69911764705882,0,PC 17600
0,3,male,25.0,0,349203
0,2,male,39.0,0,28213
1,1,female,49.0,0,17465
1,3,female,31.0,0,349244
0,3,male,30.0,0,2685
0,3,female,30.0,1,345773
0,2,male,34.0,0,250647
1,2,female,31.0,1,C.A. 31921
1,1,male,11.0,2,113760
1,3,male,0.42,1,2625
1,3,male,27.0,0,347089
0,3,male,31.0,0,347063
0,1,male,39.0,0,112050
0,3,female,18.0,0,347087
0,2,male,39.0,0,248723
1,1,female,33.0,0,113806
0,3,male,26.0,0,3474
0,3,male,39.0,0,A/4 48871
0,2,male,35.0,0,28206
0,3,female,6.0,2,347082
0,3,male,30.5,0,364499
0,1,male,29.69911764705882,0,112058
0,3,female,23.0,0,STON/O2. 3101290
0,2,male,31.0,1,S.C./PARIS 2079
0,3,male,43.0,0,C 7075
0,3,male,10.0,2,347088
1,1,female,52.0,1,12749
1,3,male,27.0,0,315098
0,1,male,38.0,0,19972
1,3,female,27.0,1,392096
0,3,male,2.0,1,3101295
0,3,male,29.69911764705882,0,368323
0,3,male,29.69911764705882,0,1601
1,2,male,1.0,2,S.C./PARIS 2079
1,3,male,29.69911764705882,0,367228
1,1,female,62.0,0,113572
1,3,female,15.0,0,2659
1,2,male,0.83,1,29106
0,3,male,29.69911764705882,0,2671
0,3,male,23.0,0,347468
0,3,male,18.0,0,2223
1,1,female,39.0,1,PC 17756
0,3,male,21.0,0,315097
0,3,male,29.69911764705882,0,392092
1,3,male,32.0,0,1601
1,1,male,29.69911764705882,0,11774
0,3,male,20.0,0,SOTON/O2 3101287
0,2,male,16.0,0,S.O./P.P. 3
1,1,female,30.0,0,113798
0,3,male,34.5,0,2683
0,3,male,17.0,0,315090
0,3,male,42.0,0,C.A. 5547
0,3,male,29.69911764705882,2,CA. 2343
0,3,male,35.0,0,349213
0,2,male,28.0,1,248727
1,1,female,29.69911764705882,0,17453
0,3,male,4.0,2,347082
0,3,male,74.0,0,347060
0,3,female,9.0,1,2678
1,1,female,16.0,1,PC 17592
0,2,female,44.0,0,244252
1,3,female,18.0,1,392091
1,1,female,45.0,1,36928
1,1,male,51.0,0,113055
1,3,female,24.0,3,2666
0,3,male,29.69911764705882,0,2629
0,3,male,41.0,0,350026
0,2,male,21.0,0,28134
1,1,female,48.0,0,17466
0,3,female,29.69911764705882,2,CA. 2343
0,2,male,24.0,0,233866
1,2,female,42.0,0,236852
1,2,female,27.0,0,SC/PARIS 2149
0,1,male,31.0,0,PC 17590
0,3,male,29.69911764705882,0,345777
1,3,male,4.0,1,347742
0,3,male,26.0,0,349248
1,1,female,47.0,1,11751
0,1,male,33.0,0,695
0,3,male,47.0,0,345765
1,2,female,28.0,0,P/PP 3381
1,3,female,15.0,0,2667
0,3,male,20.0,0,7534
0,3,male,19.0,0,349212
0,3,male,29.69911764705882,0,349217
1,1,female,56.0,1,11767
1,2,female,25.0,1,230433
0,3,male,33.0,0,349257
0,3,female,22.0,0,7552
0,2,male,28.0,0,C.A./SOTON 34068
0,3,male,25.0,0,SOTON/OQ 392076
0,3,female,39.0,5,382652
0,2,male,27.0,0,211536
1,1,female,19.0,0,112053
0,3,female,29.69911764705882,2,W./C. 6607
1,1,male,26.0,0,111369
0,3,male,32.0,0,370376
